Conservation Unit,Start date,Run timing group,Migration rate (km/day),Migration distance (km),Duration of potential exposure (days)
Adams & Momich Lakes-Early Summer,12-Jul,ES,52,513,9.9
Alouette-Early Summer,12-Jul,ES,52,58,1.1
Anderson-Seton-Early Summer,30-Jun,ES,52,333,6.4
Bowron-Early Summer,12-Jul,ES,52,1103,21.2
Chilko-Early Summer,12-Jul,ES,52,747,14.4
Chilko-Summer,26-Jul,S,43,747,17.4
Chilliwack-Early Summer (cyclic),30-Jun,ES,52,156,3
Cultus-Late,02-Aug,L,20,111,5.6
Francois-Fraser-Summer,26-Jul,S,43,988,23
Harrison-Downstream Migrating-Late,04-Aug,L,20,127,6.4
Harrison-Upstream Migrating-Late,02-Aug,L,20,127,6.4
Kamloops-Early Summer,03-Aug,ES,52,388,7.5
Lillooet-Harrison-Late,04-Aug,L,20,256,12.8
Nadina-Francois-Early Summer,12-Jul,ES,52,988,19
Nahatlatch-Early Summer,12-Jul,ES,52,250,4.8
North Barriere-Early Summer (de novo),24-Jul,ES,52,535,10.3
Pitt-Early Summer,12-Jul,ES,52,58,1.1
Quesnel-Summer (cyclic),30-Jul,S,43,753,17.5
Seton-Late (de novo),04-Aug,L,20,333,16.7
Seton-Summer,26-Jul,S,43,333,7.7
Shuswap-Early Summer (cyclic),12-Jul,ES,52,499,9.6
Shuswap-Late (cyclic),04-Aug,L,20,499,25
Takla-Trembleur-Early Stuart (cyclic),27-Jun,E Stuart,46,1117,24.3
Takla-Trembleur-Stuart-Summer (cyclic),26-Jul,S,43,1117,26
Taseko-Early Summer,12-Jul,ES,52,709,13.6